run_id,scope,fold_id,strategy_id,portfolio_leg,metric_frequency,start_date,end_date,observation_count,annual_return,annual_volatility,sharpe,max_drawdown,win_rate,cumulative_return,average_period_turnover,total_transaction_cost,benchmark_annual_return,excess_annual_return,information_ratio,rank_ic_mean,rank_ic_periods
wf_cd46c725e308,fold,F001,Benchmark_000985_CSI,benchmark,daily,20250304,20250401,21,-0.02121179388512706,0.12817022816637777,-0.10339409990804377,-0.046250940364384596,0.47619047619047616,-0.0017850712631495291,0.0,0.0,-0.02121179388512706,0.0,,,0
wf_cd46c725e308,fold,F001,Champion_SingleFactor,d1,daily,20250304,20250401,21,-0.1558452475229115,0.1931181519159306,-0.7803851513437972,-0.0795467980695107,0.5238095238095238,-0.01401909145579916,1.0,0.001,-0.02121179388512706,-0.13463345363778445,-1.4021717394169548,0.12930026518368712,1
wf_cd46c725e308,fold,F001,Composite_Equal,d1,daily,20250304,20250401,21,-0.3173909602715608,0.185047748130133,-1.9691185364418275,-0.08675197659310685,0.5238095238095238,-0.03131850594202812,1.0,0.001,-0.02121179388512706,-0.2961791663864337,-3.338445183902411,0.15924962720383048,1
wf_cd46c725e308,fold,F001,Composite_RollingRankIC,d1,daily,20250304,20250401,21,-0.4317598732224598,0.19967938182110512,-2.7273058512156525,-0.09816693804139931,0.5238095238095238,-0.04600889607059344,1.0,0.001,-0.02121179388512706,-0.4105480793373327,-4.8832476759331085,0.2830932592955462,1
wf_cd46c725e308,fold,F001,Champion_SingleFactor,d10,daily,20250304,20250401,21,0.2459051196414801,0.18947549536016065,1.2555010998063412,-0.07558528422114164,0.5238095238095238,0.018490730783073506,1.0,0.001,-0.02121179388512706,0.26711691352660716,2.3709816634330685,0.12930026518368712,1
wf_cd46c725e308,fold,F001,Composite_Equal,d10,daily,20250304,20250401,21,0.17645975236794276,0.16805734005214637,1.0514903919557363,-0.06367476905853686,0.5238095238095238,0.013634591267280616,1.0,0.001,-0.02121179388512706,0.19767154625306982,2.3548759664269867,0.15924962720383048,1
wf_cd46c725e308,fold,F001,Composite_RollingRankIC,d10,daily,20250304,20250401,21,0.4703391728869706,0.13234880770334245,2.9810607198150985,-0.046314516207321854,0.5714285714285714,0.032645984635491176,1.0,0.001,-0.02121179388512706,0.49155096677209764,5.861826673667869,0.2830932592955462,1
wf_cd46c725e308,fold,F001,Champion_SingleFactor,long_short,monthly,20250304,20250401,1,0.43641972027869635,0.0,,0.0,1.0,0.030639492429021642,2.0,0.002,0.0,0.43641972027869635,5.525073053356928,0.12930026518368712,1
wf_cd46c725e308,fold,F001,Composite_Equal,long_short,monthly,20250304,20250401,1,0.6691636776723622,0.0,,0.0,1.0,0.04361803859164559,2.0,0.002,0.0,0.6691636776723622,5.591095120776897,0.15924962720383048,1
wf_cd46c725e308,fold,F001,Composite_RollingRankIC,long_short,monthly,20250304,20250401,1,1.4832848760133368,0.0,,0.0,1.0,0.07874520582380873,2.0,0.002,0.0,1.4832848760133368,10.335403596850535,0.2830932592955462,1
wf_cd46c725e308,fold,F001,Champion_SingleFactor,top20,daily,20250304,20250401,21,0.32591758464025333,0.17662392162799273,1.6864301727182567,-0.06829522328694115,0.5238095238095238,0.023787236362625697,1.0,0.001,-0.02121179388512706,0.3471293785253804,3.2897673186249046,0.12930026518368712,1
wf_cd46c725e308,fold,F001,Composite_Equal,top20,daily,20250304,20250401,21,0.29254095282793546,0.16162531433549704,1.6694066437020636,-0.058545480276141704,0.5238095238095238,0.021614447487411148,1.0,0.001,-0.02121179388512706,0.3137527467130625,3.8980072526582012,0.15924962720383048,1
wf_cd46c725e308,fold,F001,Composite_RollingRankIC,top20,daily,20250304,20250401,21,0.4762412265274778,0.13518913671658722,2.9509518509077406,-0.04649543350551233,0.5714285714285714,0.03299077739834355,1.0,0.001,-0.02121179388512706,0.49745302041260486,5.666736868935854,0.2830932592955462,1
wf_cd46c725e308,fold,F002,Benchmark_000985_CSI,benchmark,daily,20250402,20250506,21,-0.20699104606224106,0.3475415196348495,-0.4838529404810014,-0.09951132576917798,0.6190476190476191,-0.019141166630264883,0.0,0.0,-0.20699104606224106,0.0,,,0
