experiment,factor,period,included_strategy,excluded_strategy,included_d10_d1_annual_return,excluded_d10_d1_annual_return,d10_d1_annual_return_delta,included_top20_excess_annual_return,excluded_top20_excess_annual_return,top20_excess_annual_return_delta,included_rank_ic_mean,excluded_rank_ic_mean,rank_ic_mean_delta,included_d10_d1_max_drawdown,excluded_d10_d1_max_drawdown,d10_d1_max_drawdown_delta,included_top20_max_drawdown,excluded_top20_max_drawdown,top20_max_drawdown_delta,included_d10_d1_average_two_leg_turnover,excluded_d10_d1_average_two_leg_turnover,d10_d1_average_two_leg_turnover_delta,included_top20_average_monthly_turnover,excluded_top20_average_monthly_turnover,top20_average_monthly_turnover_delta,included_average_valid_stock_count,excluded_average_valid_stock_count,average_valid_stock_count_delta,included_average_available_component_count,excluded_average_available_component_count,average_available_component_count_delta
leave_one_out,ROE,2025H1,Full11_Equal,LOO_without_ROE,0.04231508001338491,0.04207205397635927,0.00024302603702563985,0.37607050735513936,0.3597140347030039,0.016356472652135468,-0.0057976311055892155,-0.012176861407465269,0.006379230301876053,-0.03212485106155938,-0.026614227167267246,-0.005510623894292133,-0.17210531685036368,-0.1718721203767063,-0.00023319647365738216,0.6296339529107053,0.7123905035690653,-0.08275655065835996,0.2766749364059562,0.3064696882593292,-0.02979475185337299,5149.0,5142.833333333333,6.16666666666697,10.380803621274376,9.380803621274376,1.0
leave_one_out,ROE,2025H2,Full11_Equal,LOO_without_ROE,0.019007585897857338,0.0391591575004524,-0.020151571602595064,-0.059115765483196414,-0.05259647734027206,-0.006519288142924351,-0.011851371711738118,-0.014452648850375545,0.002601277138637427,-0.016520250257826996,-0.009713962144693666,-0.00680628811313333,-0.06878461572191319,-0.07030618096111407,0.0015215652392008838,0.7040257181857698,0.7838446485287524,-0.0798189303429826,0.3072593701171212,0.33311000408219427,-0.02585063396507309,5197.666666666667,5190.666666666667,7.0,10.329867674357876,9.329867674357876,1.0
leave_one_out,ROE,2026YTD,Full11_Equal,LOO_without_ROE,0.20151037111414016,0.1969338685742934,0.004576502539846761,-0.08141330754214726,-0.062045588935766505,-0.019367718606380757,0.04052638135366577,0.04167628630119275,-0.0011499049475269807,-0.02874857975136058,-0.01331551061170122,-0.015433069139659361,-0.1298582533841477,-0.1312698944212526,0.0014116410371048937,0.6674966215663722,0.729130872301612,-0.06163425073523976,0.28201208474203715,0.3063319911574408,-0.024319906415403658,5262.571428571428,5248.714285714285,13.857142857143117,10.301475558522185,9.301475558522185,1.0
leave_one_out,PE_TTM,2025H1,Full11_Equal,LOO_without_PE_TTM,0.04231508001338491,0.02300984592981159,0.01930523408357332,0.37607050735513936,0.35516460552710005,0.02090590182803931,-0.0057976311055892155,-0.01056487785766598,0.004767246752076765,-0.03212485106155938,-0.033086118674465204,0.0009612676129058251,-0.17210531685036368,-0.17286417355555472,0.0007588567051910466,0.6296339529107053,0.6683793791710034,-0.03874542626029809,0.2766749364059562,0.2863981577723765,-0.009723221366420287,5149.0,5142.833333333333,6.16666666666697,10.380803621274376,9.622754250581808,0.758049370692568
leave_one_out,PE_TTM,2025H2,Full11_Equal,LOO_without_PE_TTM,0.019007585897857338,0.02609445631146934,-0.007086870413612001,-0.059115765483196414,-0.06154913496314274,0.0024333694799463235,-0.011851371711738118,-0.017629938303155106,0.005778566591416989,-0.016520250257826996,-0.019300444515404247,0.002780194257577251,-0.06878461572191319,-0.0696251577241005,0.0008405420021873056,0.7040257181857698,0.7347516871517544,-0.030725968965984674,0.3072593701171212,0.3173875261815519,-0.010128156064430738,5197.666666666667,5191.166666666667,6.5,10.329867674357876,9.585479683805737,0.7443879905521396
leave_one_out,PE_TTM,2026YTD,Full11_Equal,LOO_without_PE_TTM,0.20151037111414016,0.21182048893033034,-0.010310117816190179,-0.08141330754214726,-0.08361697503763876,0.0022036674954915014,0.04052638135366577,0.0373580560054292,0.003168325348236571,-0.02874857975136058,-0.020667084414964343,-0.008081495336396238,-0.1298582533841477,-0.1307758879612102,0.0009176345770625094,0.6674966215663722,0.6984812168995569,-0.03098459533318465,0.28201208474203715,0.29944323190240707,-0.01743114716036992,5262.571428571428,5250.142857142857,12.428571428571558,10.301475558522185,9.560281755440567,0.7411938030816181
leave_one_out,Revenue_Growth,2025H1,Full11_Equal,LOO_without_Revenue_Growth,0.04231508001338491,-0.028179336053290815,0.07049441606667572,0.37607050735513936,0.3294671795569677,0.04660332779817167,-0.0057976311055892155,-0.017581350711334674,0.011783719605745459,-0.03212485106155938,-0.04042861883802207,0.00830376777646269,-0.17210531685036368,-0.17045957018289315,-0.0016457466674705268,0.6296339529107053,0.6531563231390571,-0.023522370228351797,0.2766749364059562,0.2859163269911517,-0.00924139058519552,5149.0,5142.833333333333,6.16666666666697,10.380803621274376,9.380803621274376,1.0
leave_one_out,Revenue_Growth,2025H2,Full11_Equal,LOO_without_Revenue_Growth,0.019007585897857338,-0.010033829054950205,0.029041414952807543,-0.059115765483196414,-0.08309338797720911,0.023977622494012696,-0.011851371711738118,-0.014535047436551063,0.0026836757248129457,-0.016520250257826996,-0.01079324791894476,-0.005727002338882237,-0.06878461572191319,-0.06858748074493226,-0.0001971349769809283,0.7040257181857698,0.7392177930895065,-0.03519207490373677,0.3072593701171212,0.31787494505923664,-0.010615574942115458,5197.666666666667,5190.666666666667,7.0,10.329867674357876,9.329867674357876,1.0
leave_one_out,Revenue_Growth,2026YTD,Full11_Equal,LOO_without_Revenue_Growth,0.20151037111414016,0.08478362742322876,0.1167267436909114,-0.08141330754214726,-0.11663708379514315,0.035223776252995886,0.04052638135366577,0.03604122403342524,0.004485157320240532,-0.02874857975136058,-0.06185629475134646,0.03310771499998588,-0.1298582533841477,-0.1313244875368086,0.0014662341526608946,0.6674966215663722,0.6662746020059249,0.0012220195604473183,0.28201208474203715,0.287988328508498,-0.0059762437664608314,5262.571428571428,5248.714285714285,13.857142857143117,10.301475558522185,9.301475558522185,1.0
leave_one_out,Momentum_60D,2025H1,Full11_Equal,LOO_without_Momentum_60D,0.04231508001338491,0.09241015808597886,-0.050095078072593946,0.37607050735513936,0.3622389481803294,0.013831559174809938,-0.0057976311055892155,0.009749575726658079,-0.015547206832247295,-0.03212485106155938,-0.02919697496614093,-0.002927876095418447,-0.17210531685036368,-0.16240219667867817,-0.009703120171685509,0.6296339529107053,0.5341698702539645,0.09546408265674089,0.2766749364059562,0.2215567470012769,0.0551181894046793,5149.0,5149.0,0.0,10.380803621274376,9.386305099271523,0.9944985220028535
