experiment,factor,month,included_strategy,excluded_strategy,included_d10_d1_return,excluded_d10_d1_return,d10_d1_return_delta,included_top20_return,excluded_top20_return,top20_return_delta,included_benchmark_return,excluded_benchmark_return,benchmark_return_delta,included_top20_excess_return,excluded_top20_excess_return,top20_excess_return_delta,included_rank_ic,excluded_rank_ic,rank_ic_delta,included_d10_d1_month_drawdown,excluded_d10_d1_month_drawdown,d10_d1_month_drawdown_delta,included_top20_within_month_max_drawdown,excluded_top20_within_month_max_drawdown,top20_within_month_max_drawdown_delta,included_d10_d1_two_leg_turnover,excluded_d10_d1_two_leg_turnover,d10_d1_two_leg_turnover_delta,included_top20_turnover,excluded_top20_turnover,top20_turnover_delta
leave_one_out,ROE,2025-01,Full11_Equal,LOO_without_ROE,0.026779805854694638,0.015296230762375851,0.011483575092318787,0.0059220886230550995,0.0012046105164147392,0.00471747810664036,-0.024839993739835253,-0.024839993739835253,0.0,0.030762082362890353,0.026044604256249992,0.00471747810664036,0.05748194126438613,0.030567778402975834,0.0269141628614103,0.0,0.0,0.0,-0.03935065827692685,-0.040871970888006315,0.0015213126110794617,0.6873468799538838,0.7944417897315705,-0.10709490977768676,0.2928015564202334,0.3446932814021421,-0.05189172498190869
leave_one_out,ROE,2025-02,Full11_Equal,LOO_without_ROE,-0.018236653318983498,-0.016782577491219475,-0.0014540758277640231,0.07563354235071018,0.07426846605685733,0.0013650762938528516,0.04635343081440668,0.04635343081440668,0.0,0.0292801115363035,0.027915035242450648,0.0013650762938528516,-0.11032809967666071,-0.10649707843987678,-0.0038310212367839297,-0.018236653318983498,-0.016782577491219475,-0.0014540758277640231,-0.031949630313159005,-0.033420926908691584,0.0014712965955325785,0.47909610897870103,0.528631332401496,-0.04953522342279493,0.21414728682170545,0.2330097087378641,-0.018862421916158667
leave_one_out,ROE,2025-03,Full11_Equal,LOO_without_ROE,0.042376214040666715,0.036294808392447475,0.00608140564821924,0.018451353994164865,0.014609576026084481,0.0038417779680803843,-0.004237894785310781,-0.004237894785310781,0.0,0.022689248779475646,0.01884747081139526,0.0038417779680803843,0.15925551559964743,0.1375166097762683,0.021738905823379118,0.0,0.0,0.0,-0.058545480276141704,-0.05822031250858717,-0.000325167767554535,0.42865206592910365,0.49753692720335463,-0.06888486127425097,0.1802325581395349,0.20970873786407765,-0.02947617972454275
leave_one_out,ROE,2025-04,Full11_Equal,LOO_without_ROE,0.0038562936361421496,0.013767159754469516,-0.009910866118327366,-0.010524945879211378,-0.01009193920165219,-0.000433006677559189,-0.03316190387796336,-0.03316190387796336,0.0,0.022636957998751983,0.023069964676311172,-0.000433006677559189,-0.027262007315000406,-0.012213847189931397,-0.015048160125069009,0.0,0.0,0.0,-0.13193595216233056,-0.13166006795547958,-0.0002758842068509848,0.5290697674418605,0.6322871980130955,-0.103217430571235,0.24612403100775193,0.2774005819592628,-0.031276550951510884
leave_one_out,ROE,2025-05,Full11_Equal,LOO_without_ROE,-0.01651337222418736,-0.010879089119103402,-0.005634283105083959,0.0395942754804679,0.04230576360142879,-0.002711488120960892,0.02095829772717739,0.02095829772717739,0.0,0.01863597775329051,0.021347465874251403,-0.002711488120960892,-0.0495087859105357,-0.05111685508262539,0.0016080691720896864,-0.01651337222418736,-0.010879089119103402,-0.005634283105083959,-0.028389640578925235,-0.02824659047981437,-0.00014305009911086408,1.005813953488372,1.0610709716264017,-0.055257018138029634,0.42344961240310075,0.446168768186227,-0.022719155783126277
leave_one_out,ROE,2025-06,Full11_Equal,LOO_without_ROE,-0.01587360559510398,-0.01590820482619293,3.45992310889498e-05,0.05519747361572147,0.05679720166455615,-0.001599728048834681,0.039798836591690145,0.039798836591690145,0.0,0.015398637024031325,0.016998365072866006,-0.001599728048834681,-0.06442435059537203,-0.0713177759116022,0.006893425316230162,-0.01587360559510398,-0.01590820482619293,3.45992310889498e-05,-0.040669767487521935,-0.0394219343255936,-0.0012478331619283356,0.6478249416723113,0.7603748024384737,-0.11254986076616236,0.30329457364341084,0.3278370514064016,-0.02454247776299079
leave_one_out,ROE,2025-07,Full11_Equal,LOO_without_ROE,-0.009569208205859048,-0.006136482581728497,-0.0034327256241305504,0.04678903471527329,0.04764217579924446,-0.0008531410839711651,0.04330015131716358,0.04330015131716358,0.0,0.00348888339810971,0.004342024482080875,-0.0008531410839711651,-0.023226716916514588,-0.019490370217921497,-0.003736346698593091,-0.009569208205859048,-0.006136482581728497,-0.0034327256241305504,-0.01326028390863987,-0.01352617910752374,0.0002658951988838698,0.6525096525096524,0.7631419759079333,-0.11063232339828089,0.28957528957528955,0.31690821256038637,-0.02733292298509682
leave_one_out,ROE,2025-08,Full11_Equal,LOO_without_ROE,0.018226690949635138,0.018869093497649425,-0.000642402548014287,0.08973511329500461,0.08717243872875158,0.0025626745662530315,0.10741528215523433,0.10741528215523433,0.0,-0.017680168860229717,-0.02024284342648275,0.0025626745662530315,-0.02313320652320062,-0.03177226951871118,0.008639062995510555,0.0,0.0,0.0,-0.02181223452136638,-0.02243183254328296,0.0006195980219165786,0.7148362235067437,0.7751802173767492,-0.06034399387000555,0.3102119460500964,0.3400770712909441,-0.029865125240847723
leave_one_out,ROE,2025-09,Full11_Equal,LOO_without_ROE,0.000655723191766544,0.005243245398368401,-0.004587522206601857,0.0016387283797365537,0.004694179379865826,-0.0030554510001292723,0.026469372651721335,0.026469372651721335,0.0,-0.02483064427198478,-0.02177519327185551,-0.0030554510001292723,-0.016261496206210438,-0.012323033545562035,-0.0039384626606484025,0.0,0.0,0.0,-0.05087805836336401,-0.05203068195835536,0.0011526235949913533,0.796872684155921,0.8524151732244217,-0.05554248906850068,0.3339749759384023,0.35260115606936415,-0.018626180130961845
leave_one_out,ROE,2025-10,Full11_Equal,LOO_without_ROE,-0.010744962657302404,-0.006892504344701567,-0.003852458312600837,0.013945984568446423,0.01402001323873292,-7.402867028649673e-05,-0.0014999674834007548,-0.0014999674834007548,0.0,0.015445952051847178,0.015519980722133675,-7.402867028649673e-05,-0.03272608915478578,-0.03376503787934853,0.001038948724562748,-0.010744962657302404,-0.006892504344701567,-0.003852458312600837,-0.03822112863362881,-0.03872746697686269,0.0005063383432338808,0.6223645356562824,0.7044093671261301,-0.08204483146984776,0.29394812680115273,0.31280076997112605,-0.018852643169973315
leave_one_out,ROE,2025-11,Full11_Equal,LOO_without_ROE,-0.005838016873826568,-0.00284103967831828,-0.002996977195508288,-0.012989515496685256,-0.010553599052715024,-0.002435916443970232,-0.022820051048915158,-0.022820051048915158,0.0,0.009830535552229902,0.012266451996200134,-0.002435916443970232,-0.021422319022241006,-0.01075019611219452,-0.010672122910046487,-0.005838016873826568,-0.00284103967831828,-0.002996977195508288,-0.0687846157219133,-0.07030618096111452,0.0015215652392012169,0.7857411782075889,0.8779713568581131,-0.09223017865052419,0.3272552783109405,0.34774255523535064,-0.020487276924410158
leave_one_out,ROE,2025-12,Full11_Equal,LOO_without_ROE,0.017114842665492347,0.011262906997785205,0.005851935667707142,0.022983200187354447,0.021278829636153906,0.0017043705512005403,0.03250519098924354,0.03250519098924354,0.0,-0.00952199080188909,-0.011226361353089631,0.0017043705512005403,0.045661597552523726,0.02138501417148449,0.024276583381039236,0.0,0.0,0.0,-0.033420082550975505,-0.037292251715020264,0.0038721691640447586,0.6518300350784301,0.7299498006791673,-0.07811976560073719,0.2885906040268456,0.32853025936599417,-0.03993965533914856
leave_one_out,ROE,2026-01,Full11_Equal,LOO_without_ROE,0.035873746435556964,0.026733677870558914,0.00914006856499805,0.08599018527567104,0.08446542106633959,0.0015247642093314528,0.05745226824691163,0.05745226824691163,0.0,0.028537917028759408,0.027013152819427955,0.0015247642093314528,0.07890713825938925,0.06820930615990986,0.010697832099479387,0.0,0.0,0.0,-0.027369374654805045,-0.0281210666883297,0.0007516920335246535,0.6341241808124006,0.7439164295011804,-0.10979224868877979,0.2932187201528176,0.3084291187739463,-0.015210398621128718
leave_one_out,ROE,2026-02,Full11_Equal,LOO_without_ROE,-0.0024933431645568493,-0.00015201860663427436,-0.002341324557922575,0.03400590043025087,0.039383198052599155,-0.005377297622348287,0.022251534182126997,0.022251534182126997,0.0,0.011754366248123871,0.017131663870472158,-0.005377297622348287,-0.00749753249316682,0.0008749182705882205,-0.00837245076375504,-0.0024933431645568493,-0.00015201860663427436,-0.002341324557922575,-0.01020099299942756,-0.008856921184511313,-0.0013440718149162478,0.6214249363867685,0.6589223942901348,-0.03749745790336623,0.25738798856053385,0.2913085004775549,-0.03392051191702106
leave_one_out,ROE,2026-03,Full11_Equal,LOO_without_ROE,-0.012205726407191753,-0.005265282111266756,-0.006940444295924997,-0.09795344905038939,-0.09951390957530981,0.0015604605249204262,-0.08691410866895877,-0.08691410866895877,0.0,-0.011039340381430618,-0.012599800906351044,0.0015604605249204262,0.004026984924606448,0.010505902752277821,-0.006478917827671373,-0.012205726407191753,-0.005265282111266756,-0.006940444295924997,-0.12308673015945382,-0.12481888677267361,0.001732156613219793,0.5289516567083107,0.5844401792360574,-0.05548852252774672,0.21408182683158894,0.24904580152671757,-0.03496397469512863
