path,before_exists,after_exists,before_size,after_size,before_mtime_ns,after_mtime_ns,unchanged
database/data/bronze/adj_factor/adj_factor-0a1017073c4f.parquet,True,True,56832,56832,1783445405054925400,1783445405054925400,True
database/data/bronze/adj_factor/adj_factor-0aa1d789bac0.parquet,True,True,54117,54117,1783445275251576900,1783445275251576900,True
database/data/bronze/adj_factor/adj_factor-0ad9d8038bfb.parquet,True,True,45126,45126,1783444798003102400,1783444798003102400,True
database/data/bronze/adj_factor/adj_factor-0b1dcaa6424e.parquet,True,True,49072,49072,1783445014617345700,1783445014617345700,True
database/data/bronze/adj_factor/adj_factor-0b9a6e00f672.parquet,True,True,56515,56515,1783445312148851400,1783445312148851400,True
database/data/bronze/adj_factor/adj_factor-0bba7d682f45.parquet,True,True,56592,56592,1783445356424726200,1783445356424726200,True
database/data/bronze/adj_factor/adj_factor-0be07080b214.parquet,True,True,49484,49484,1783445054263596200,1783445054263596200,True
database/data/bronze/adj_factor/adj_factor-0be9d8c783ca.parquet,True,True,44461,44461,1783444750216113900,1783444750216113900,True
database/data/bronze/adj_factor/adj_factor-0c77bdbddd8c.parquet,True,True,42583,42583,1783444676861026400,1783444676861026400,True
database/data/bronze/adj_factor/adj_factor-0c81d1778ff4.parquet,True,True,50009,50009,1783445116390913600,1783445116390913600,True
database/data/bronze/adj_factor/adj_factor-0c8b9ac2e966.parquet,True,True,43945,43945,1783444719357301900,1783444719357301900,True
database/data/bronze/adj_factor/adj_factor-0c9b7aeb3db7.parquet,True,True,48437,48437,1783444977609059400,1783444977609059400,True
database/data/bronze/adj_factor/adj_factor-0c9c82d347c0.parquet,True,True,49431,49431,1783445051586257500,1783445051586257500,True
database/data/bronze/adj_factor/adj_factor-0cd13ad9a103.parquet,True,True,51743,51743,1783444938173942700,1783444938173942700,True
database/data/bronze/adj_factor/adj_factor-0cdd483734b5.parquet,True,True,46096,46096,1783444814481636100,1783444814481636100,True
database/data/bronze/adj_factor/adj_factor-0d139642676c.parquet,True,True,51328,51328,1783445151083549300,1783445151083549300,True
database/data/bronze/adj_factor/adj_factor-0d3392ea75f4.parquet,True,True,53905,53905,1783445234568912000,1783445234568912000,True
database/data/bronze/adj_factor/adj_factor-0d9c4fb73e17.parquet,True,True,47250,47250,1783444818475475100,1783444818475475100,True
database/data/bronze/adj_factor/adj_factor-0dde8091ba21.parquet,True,True,43246,43246,1783444688317742000,1783444688317742000,True
database/data/bronze/adj_factor/adj_factor-0e0310259892.parquet,True,True,44813,44813,1783444777913872000,1783444777913872000,True
database/data/bronze/adj_factor/adj_factor-0e080a6cc15a.parquet,True,True,49987,49987,1783445111663984100,1783445111663984100,True
database/data/bronze/adj_factor/adj_factor-0e2769a00f3b.parquet,True,True,54679,54679,1783445293753552100,1783445293753552100,True
database/data/bronze/adj_factor/adj_factor-0e5a4cb9e084.parquet,True,True,54115,54115,1783445270538326500,1783445270538326500,True
database/data/bronze/adj_factor/adj_factor-0e62c9727db7.parquet,True,True,54065,54065,1783445265837902700,1783445265837902700,True
database/data/bronze/adj_factor/adj_factor-0ebf2d920328.parquet,True,True,50861,50861,1783444867770149800,1783444867770149800,True
database/data/bronze/adj_factor/adj_factor-0eda318be45a.parquet,True,True,54070,54070,1783445263503694900,1783445263503694900,True
database/data/bronze/adj_factor/adj_factor-0f31c291b2c8.parquet,True,True,56693,56693,1783445380131585100,1783445380131585100,True
database/data/bronze/adj_factor/adj_factor-0f345006a2fc.parquet,True,True,45064,45064,1783444796062827800,1783444796062827800,True
database/data/bronze/adj_factor/adj_factor-0fb631f75b3a.parquet,True,True,53861,53861,1783445140699067100,1783445140699067100,True
database/data/bronze/adj_factor/adj_factor-0fbc593bae38.parquet,True,True,52659,52659,1783445171325286800,1783445171325286800,True
database/data/bronze/adj_factor/adj_factor-0fd0ebe38dbd.parquet,True,True,48917,48917,1783444999132105000,1783444999132105000,True
database/data/bronze/adj_factor/adj_factor-0fdf926b3394.parquet,True,True,51182,51182,1783444881723251100,1783444881723251100,True
database/data/bronze/adj_factor/adj_factor-0ff00e5deeca.parquet,True,True,56873,56873,1783445427065415300,1783445427065415300,True
database/data/bronze/adj_factor/adj_factor-1007fe7c258b.parquet,True,True,41137,41137,1783444637759900700,1783444637759900700,True
database/data/bronze/adj_factor/adj_factor-1015c8361209.parquet,True,True,47159,47159,1783444824077548300,1783444824077548300,True
database/data/bronze/adj_factor/adj_factor-10307a0a9c06.parquet,True,True,52051,52051,1783444960221914700,1783444960221914700,True
database/data/bronze/adj_factor/adj_factor-10350970c3d4.parquet,True,True,53930,53930,1783445237531114900,1783445237531114900,True
database/data/bronze/adj_factor/adj_factor-107e59b3372e.parquet,True,True,49149,49149,1783445026158512000,1783445026158512000,True
database/data/bronze/adj_factor/adj_factor-108b0aa0e973.parquet,True,True,53277,53277,1783445196770968600,1783445196770968600,True
database/data/bronze/adj_factor/adj_factor-10b10e4a1af1.parquet,True,True,56694,56694,1783445386676391500,1783445386676391500,True
database/data/bronze/adj_factor/adj_factor-115500ee1f0a.parquet,True,True,51353,51353,1783444894483520500,1783444894483520500,True
database/data/bronze/adj_factor/adj_factor-1159e7a21686.parquet,True,True,49159,49159,1783445031999024000,1783445031999024000,True
database/data/bronze/adj_factor/adj_factor-116c9f078f02.parquet,True,True,49057,49057,1783445012886712900,1783445012886712900,True
database/data/bronze/adj_factor/adj_factor-117fa8aeab01.parquet,True,True,53915,53915,1783445231539608400,1783445231539608400,True
database/data/bronze/adj_factor/adj_factor-118e8e082e83.parquet,True,True,54908,54908,1783445294554794700,1783445294554794700,True
database/data/bronze/adj_factor/adj_factor-11ca68604431.parquet,True,True,42725,42725,1783444678465638800,1783444678465638800,True
database/data/bronze/adj_factor/adj_factor-123799b4b4f9.parquet,True,True,49753,49753,1783444839583581200,1783444839583581200,True
database/data/bronze/adj_factor/adj_factor-12833e02fb53.parquet,True,True,55518,55518,1783445299403860200,1783445299403860200,True
database/data/bronze/adj_factor/adj_factor-12a1b15a064e.parquet,True,True,57255,57255,1783445461686410700,1783445461686410700,True
database/data/bronze/adj_factor/adj_factor-12a5be5367a8.parquet,True,True,56849,56849,1783445417142751100,1783445417142751100,True
database/data/bronze/adj_factor/adj_factor-12c385362f6a.parquet,True,True,50853,50853,1783445149172137100,1783445149172137100,True
database/data/bronze/adj_factor/adj_factor-12dc680035fa.parquet,True,True,52815,52815,1783445185361221300,1783445185361221300,True
database/data/bronze/adj_factor/adj_factor-12e7244af83c.parquet,True,True,51713,51713,1783444933535151600,1783444933535151600,True
database/data/bronze/adj_factor/adj_factor-12ee71488696.parquet,True,True,41215,41215,1783444643366713500,1783444643366713500,True
database/data/bronze/adj_factor/adj_factor-132a648e8d9f.parquet,True,True,51364,51364,1783444896988178000,1783444896988178000,True
database/data/bronze/adj_factor/adj_factor-13393643a4a5.parquet,True,True,56647,56647,1783445372250062500,1783445372250062500,True
database/data/bronze/adj_factor/adj_factor-1357239e7f2c.parquet,True,True,51942,51942,1783444956881640900,1783444956881640900,True
database/data/bronze/adj_factor/adj_factor-13577a5d20fe.parquet,True,True,52538,52538,1783445133978493600,1783445133978493600,True
database/data/bronze/adj_factor/adj_factor-13e825d79f6d.parquet,True,True,53335,53335,1783445197613099000,1783445197613099000,True
database/data/bronze/adj_factor/adj_factor-145dd4672d4c.parquet,True,True,51289,51289,1783444890540701100,1783444890540701100,True
database/data/bronze/adj_factor/adj_factor-146fe28d8a5d.parquet,True,True,48988,48988,1783445007128262300,1783445007128262300,True
database/data/bronze/adj_factor/adj_factor-147901055795.parquet,True,True,52755,52755,1783445135374478300,1783445135374478300,True
database/data/bronze/adj_factor/adj_factor-14b94cb0bd63.parquet,True,True,57371,57371,1783445465266240400,1783445465266240400,True
database/data/bronze/adj_factor/adj_factor-14dfde4d8c71.parquet,True,True,49824,49824,1783445076764592400,1783445076764592400,True
