factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,composite_factor,bucket
Composite_Equal_D01,20220208,0.014001400363942179,1.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220209,0.014217503999425443,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220210,-0.004972437409304878,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220211,-0.017671106032687983,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220214,0.00270253655463258,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220215,0.005273703840259393,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220216,0.010124676569415179,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220217,0.0025991096757163284,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220218,0.00893252295707315,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220221,0.013469521760714146,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220222,-0.006651046894248589,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220223,0.01753297786591048,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220224,-0.019543613547714826,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220225,0.009847012309911243,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220228,0.0008208333825108252,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220301,0.007828779676095236,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220302,0.005096035492869132,0.26801801801801806,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220303,-0.0032757899777824165,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220304,-0.012693475878989464,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220307,-0.01657188909168358,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220308,-0.029318563539197557,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220309,-0.013108329460385097,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220310,0.01710891142134478,0.0,2,2,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220311,0.006410187718334949,0.0,2,2,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220314,-0.02470290110103798,0.0,1,1,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220315,-0.04818659561222936,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220316,0.032031032682760405,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220317,0.018071031722929197,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220318,0.01585233441165039,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220321,0.011961207670314524,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220322,-0.0010892482261704946,0.0,0,0,0,0.0,Composite_Equal,1
Composite_Equal_D01,20220323,0.0025832997461903767,0.0,0,0,0,0.0,Composite_Equal,1
