factor,period_count,annual_return,annual_volatility,sharpe,max_drawdown,win_rate,cumulative_return
PE_TTM,54,0.1104407358361641,0.10309525030382188,1.0712495048093393,-0.061644454387032366,0.5740740740740741,0.6022461383064277
Dividend_Yield,54,0.09159178715251359,0.08722909684634049,1.0500141634374394,-0.07189986913649205,0.6666666666666666,0.48344403884365517
Revenue_Growth,54,0.05509209351451916,0.08054100442971436,0.684025409226133,-0.14481969997522826,0.5555555555555556,0.27293626298930684
Volatility,54,0.05216755577396914,0.2062212676438788,0.25296884443585477,-0.27904922160846946,0.5925925925925926,0.25713545999927434
Holder_Concen,54,0.026924646740536406,0.06769799435939786,0.39771705196460844,-0.06459304068944205,0.5555555555555556,0.1269991740712919
Main_Net_In,54,0.01249640357375248,0.058788804598909346,0.21256434212279107,-0.0739474680055523,0.5,0.057476443297378665
Gross_Margin,54,0.0011427173359814802,0.07141491958849953,0.01600110092633221,-0.07113609662909248,0.5185185185185185,0.005152521006353217
Debt_to_Equity,54,-0.013942595680195291,0.06079967525318566,-0.22932023275017008,-0.10668114326950318,0.48148148148148145,-0.06122850629284149
ROE,54,-0.025004988821244467,0.10760855174728813,-0.23236990383410325,-0.2553330606898857,0.42592592592592593,-0.1077002509513102
Momentum_60D,54,-0.07359649129529855,0.19372404167701804,-0.37990375721151126,-0.47400214152828,0.4444444444444444,-0.29107407155647314
Turnover_20D,54,-0.17084751425532818,0.14190852666799622,-1.2039270526360726,-0.6182201347000571,0.3333333333333333,-0.5696172742264844
