factor,signal_count,first_signal,last_signal,average_valid_stocks,min_valid_stocks,average_available_factor_count
Composite_Equal,54,20220128,20260630,4982.37037037037,4423,10.265006729317996
Composite_RollingRankIC,54,20220128,20260630,4981.407407407408,4423,10.265006729317996
