factor,start_date,end_date,trading_days,annual_return,annual_volatility,max_drawdown,sharpe,cumulative_return,benchmark_annual_return,excess_annual_return,average_monthly_turnover,annualized_turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,average_invalid_missing_weight,max_invalid_missing_weight,composite_factor,bucket
Composite_RollingRankIC_D08,20220208,20260707,1070,0.13699692157836396,0.23480873176661946,-0.291303921214795,0.5834404902562466,0.7248673858450276,0.031097814087550413,0.10589910749081355,0.5896578470910977,7.075894165093173,506,476,30,5.787435372135502e-05,0.0022222222222222222,Composite_RollingRankIC,8
Composite_Equal_D07,20220208,20260707,1070,0.12948847562938992,0.2411668600468572,-0.3032976099140524,0.536924831231916,0.6770183665200944,0.031097814087550413,0.09839066154183951,0.7107820128762633,8.52938415451516,397,374,23,4.6181720963926225e-05,0.002232142857142857,Composite_Equal,7
Composite_RollingRankIC_D06,20220208,20260707,1070,0.12810539388619158,0.24648548097477876,-0.31127005115999473,0.5197279506264296,0.6683162697137335,0.031097814087550413,0.09700757979864116,0.6510030568702133,7.81203668244256,356,342,14,2.9140561580251023e-05,0.0022271714922048997,Composite_RollingRankIC,6
Composite_RollingRankIC_D07,20220208,20260707,1070,0.12699117064523335,0.23797880305540337,-0.3005304129548193,0.5336238732811376,0.6613309237046838,0.031097814087550413,0.09589335655768294,0.6357991540944886,7.629589849133863,497,451,46,8.950828443335247e-05,0.002232142857142857,Composite_RollingRankIC,7
Composite_Equal_D06,20220208,20260707,1070,0.12645154739042397,0.2445371071725578,-0.31030614947413415,0.5171057630169532,0.6579559373862585,0.031097814087550413,0.09535373330287356,0.7224460379689046,8.669352455626855,461,434,27,5.407388819864871e-05,0.0022271714922048997,Composite_Equal,6
Composite_RollingRankIC_D09,20220208,20260707,1070,0.12242850107759051,0.22986224710802658,-0.28540763284142134,0.5326168286349944,0.6329593459867553,0.031097814087550413,0.0913306869900401,0.495856717692304,5.9502806123076475,386,386,0,0.0,0.0,Composite_RollingRankIC,9
Composite_Equal_D08,20220208,20260707,1070,0.12138792870871429,0.24017143496215762,-0.2865083500588318,0.50542200710855,0.6265410651990779,0.031097814087550413,0.09029011462116387,0.6785095074275785,8.142114089130942,500,477,23,4.5575987236014336e-05,0.0022222222222222222,Composite_Equal,8
Composite_RollingRankIC_D10,20220208,20260707,1070,0.11890687468728589,0.2199017200054765,-0.28300827720715005,0.5407273516747599,0.6113156589417532,0.031097814087550413,0.08780906059973548,0.2821732168607182,3.3860786023286185,357,338,19,3.538446023245259e-05,0.0020876826722338203,Composite_RollingRankIC,10
Composite_RollingRankIC_D05,20220208,20260707,1070,0.11710759243671176,0.25007379159394677,-0.32536023961184213,0.46829214565140553,0.6003423999992501,0.031097814087550413,0.08600977834916135,0.6452496722976313,7.742996067571576,560,543,17,3.298725898393524e-05,0.0022222222222222222,Composite_RollingRankIC,5
Composite_RollingRankIC_D04,20220208,20260707,1070,0.11393276116216122,0.25684073976837063,-0.33332659985917956,0.44359302681074037,0.5811195312753878,0.031097814087550413,0.08283494707461081,0.6262240051586081,7.514688061903297,481,474,7,1.324302849142987e-05,0.0020242914979757085,Composite_RollingRankIC,4
