composite_factor,trade_date,ic,rank_ic,sample_count
Composite_Equal,20220128,-0.0832322365613421,-0.09779097859488199,4423
Composite_Equal,20220228,0.026908727846633323,0.05030440486922977,4445
Composite_Equal,20220331,0.08347441785959352,0.07704977341637356,4478
Composite_Equal,20220429,-0.15560169494349171,-0.16239149429427205,4426
Composite_Equal,20220531,-0.07503242998358618,-0.10285925880139267,4487
Composite_Equal,20220630,-0.019241799334942657,-0.03966817760331736,4518
Composite_Equal,20220729,-0.08144867848668888,-0.08447682792685088,4556
Composite_Equal,20220831,0.01758405196617803,0.04759399945063115,4608
Composite_Equal,20220930,0.003008218232931141,-0.042129565464848626,4655
Composite_Equal,20221031,-0.11002287990282808,-0.12990317197709902,4685
Composite_Equal,20221130,-0.0506605086796209,-0.0360582261062038,4727
Composite_Equal,20221230,0.007675826674586677,-0.02977210128505965,4778
Composite_Equal,20230131,0.003814657638446922,-0.003792808108750225,4784
Composite_Equal,20230228,0.06475812703622648,0.04863207167348841,4812
Composite_Equal,20230331,0.10125567478247688,0.058507059361923686,4844
Composite_Equal,20230428,0.08767747872202823,0.07209029216215108,4824
Composite_Equal,20230531,-0.06625118848802937,-0.058769858491820086,4888
Composite_Equal,20230630,-0.13191222428137703,-0.13025471977233463,4925
Composite_Equal,20230731,0.09339850169753734,0.13255869496391262,4968
Composite_Equal,20230831,-0.07151679649635596,-0.06622791010215767,5001
Composite_Equal,20230928,-0.08483160546157285,-0.11837546977360207,5017
Composite_Equal,20231031,0.03315818979160857,-0.018413172271570116,5030
Composite_Equal,20231130,0.21730187254801217,0.16083427617660095,5048
Composite_Equal,20231229,0.05702758689920149,0.07119381927490598,5065
Composite_Equal,20240131,-0.0074862429630724505,0.03275243573242058,5085
Composite_Equal,20240229,-0.07229465836955305,-0.075461452726714,5089
Composite_Equal,20240329,0.11814163303275212,0.13874181849347353,5097
Composite_Equal,20240430,0.12311359155693644,0.17323154432494942,5064
Composite_Equal,20240531,0.12785531240764544,0.15265965521653307,5092
Composite_Equal,20240628,-0.1876835182416646,-0.2026591176216081,5099
Composite_Equal,20240731,-0.12474234814613176,-0.08992227548153511,5100
