composite_factor,trade_date,bucket,average_forward_return,stock_count
Composite_Equal,20221130,10,-0.04051608245521738,473
Composite_Equal,20221230,1,0.06391916934715682,477
Composite_Equal,20221230,2,0.07427915916143911,478
Composite_Equal,20221230,3,0.0845195456698266,478
Composite_Equal,20221230,4,0.08685589185703742,478
Composite_Equal,20221230,5,0.0801316079581348,478
Composite_Equal,20221230,6,0.08143119121080991,477
Composite_Equal,20221230,7,0.07893301913341104,478
Composite_Equal,20221230,8,0.07753792592260901,478
Composite_Equal,20221230,9,0.07416737942102286,478
Composite_Equal,20221230,10,0.059797656877662406,478
Composite_Equal,20230131,1,0.017863618441489305,478
Composite_Equal,20230131,2,0.01978427901633961,479
Composite_Equal,20230131,3,0.021315064258389037,478
Composite_Equal,20230131,4,0.02313395714539918,479
Composite_Equal,20230131,5,0.020329824849680253,478
Composite_Equal,20230131,6,0.030347570355560037,479
Composite_Equal,20230131,7,0.030458811046022473,478
Composite_Equal,20230131,8,0.025097397524811358,479
Composite_Equal,20230131,9,0.0234430393423749,478
Composite_Equal,20230131,10,0.01057161615146688,478
Composite_Equal,20230228,1,-0.024053336364102333,481
Composite_Equal,20230228,2,-0.022140355583841007,481
Composite_Equal,20230228,3,-0.007385099711304831,481
Composite_Equal,20230228,4,-0.005454292335514111,481
Composite_Equal,20230228,5,-0.015143061210422392,482
Composite_Equal,20230228,6,-0.011486640014389959,481
Composite_Equal,20230228,7,-0.003215094360177589,481
Composite_Equal,20230228,8,-0.007548904466961734,481
Composite_Equal,20230228,9,-0.00371320237289481,481
Composite_Equal,20230228,10,0.0028462025049599904,482
Composite_Equal,20230331,1,-0.05777992410064318,484
Composite_Equal,20230331,2,-0.03771893114282156,484
Composite_Equal,20230331,3,-0.03777421526979111,484
Composite_Equal,20230331,4,-0.039984072680092624,485
Composite_Equal,20230331,5,-0.03339701641944944,484
Composite_Equal,20230331,6,-0.020186007946832833,485
Composite_Equal,20230331,7,-0.03164946081421819,484
Composite_Equal,20230331,8,-0.019756963472183437,485
Composite_Equal,20230331,9,-0.015607032084722217,484
Composite_Equal,20230331,10,-0.007344221273056621,485
Composite_Equal,20230428,1,-0.011653228359370648,482
Composite_Equal,20230428,2,0.0018734621359079789,482
Composite_Equal,20230428,3,-0.0058226087280141775,483
Composite_Equal,20230428,4,0.008945112482828763,482
Composite_Equal,20230428,5,0.003752257648842023,483
Composite_Equal,20230428,6,0.0022680956058573334,482
Composite_Equal,20230428,7,0.010341623511811173,482
Composite_Equal,20230428,8,0.01869059271632934,483
Composite_Equal,20230428,9,0.012105686568606859,482
Composite_Equal,20230428,10,0.015471902171701654,483
Composite_Equal,20230531,1,0.03451133822546986,487
Composite_Equal,20230531,2,0.032415938811740784,489
Composite_Equal,20230531,3,0.02547335883306029,489
Composite_Equal,20230531,4,0.02952438863751494,489
Composite_Equal,20230531,5,0.023871228541377066,489
Composite_Equal,20230531,6,0.025620636375394298,489
Composite_Equal,20230531,7,0.025544521486679784,489
Composite_Equal,20230531,8,0.024587336500034997,489
Composite_Equal,20230531,9,0.0181290120035919,489
Composite_Equal,20230531,10,0.010783438452843042,489
Composite_Equal,20230630,1,0.021560666946124032,482
