factor,trade_date,baseline_log_total_mv,portfolio_log_total_mv,active_log_total_mv,portfolio_size_percentile,baseline_count,holding_count,missing_size_count
Debt_to_Equity,20220128,13.527797841417618,13.26616617810281,-0.26163166331480703,0.43884977071326764,4401,880,0
Debt_to_Equity,20220228,13.565352579344282,13.287844592752798,-0.277507986591484,0.4338368645664483,4423,885,0
Debt_to_Equity,20220331,13.496581314495419,13.201211698987867,-0.2953696155075516,0.4276061251985762,4460,892,0
Debt_to_Equity,20220429,13.33116176846919,13.025276699778306,-0.30588506869088405,0.4263553190655525,4469,885,0
Debt_to_Equity,20220531,13.422348159164494,13.09734772369007,-0.3250004354744238,0.4194379678488158,4496,899,0
Debt_to_Equity,20220630,13.48792974916534,13.173249516932309,-0.314680232233032,0.42293958776499985,4527,905,0
Debt_to_Equity,20220729,13.510160456933223,13.182603027421294,-0.3275574295119288,0.41884569946471795,4559,912,0
Debt_to_Equity,20220831,13.469032238878778,13.129535142203727,-0.3394970966750517,0.4139620682064896,4612,922,0
Debt_to_Equity,20220930,13.36926216123646,13.021911213107938,-0.34735094812852196,0.41196200567399777,4655,931,0
Debt_to_Equity,20221031,13.395405091950657,13.114750211599205,-0.28065488035145236,0.4305506526557754,4686,937,1
Debt_to_Equity,20221130,13.457098820417032,13.151879124049024,-0.30521969636800783,0.4229230833896753,4728,946,0
Debt_to_Equity,20221230,13.39838242046714,13.093608003989104,-0.30477441647803616,0.423421552493829,4780,956,0
Debt_to_Equity,20230131,13.474916410719583,13.173712379611981,-0.3012040311076021,0.4251582135460403,4786,957,0
Debt_to_Equity,20230228,13.499611806621152,13.206366301685257,-0.29324550493589463,0.42726033578939254,4814,963,0
Debt_to_Equity,20230331,13.479012148153421,13.20551862982087,-0.2734935183325504,0.4328193579667245,4848,970,0
Debt_to_Equity,20230428,13.450533559035414,13.131189143777416,-0.31934441525799784,0.4223274581541439,4859,965,0
Debt_to_Equity,20230531,13.447372959537425,13.141159045158792,-0.3062139143786329,0.42499766902105995,4891,978,0
Debt_to_Equity,20230630,13.44983396528639,13.139960104654442,-0.30987386063194755,0.4224381366359897,4942,988,0
Debt_to_Equity,20230731,13.45883768599557,13.119651141770275,-0.3391865442252957,0.41508226254285635,4969,994,0
Debt_to_Equity,20230831,13.415140334067397,13.107959106270785,-0.3071812277966117,0.42626995155983544,5002,1001,0
Debt_to_Equity,20230928,13.40761997609005,13.091485505476104,-0.31613447061394595,0.42234608090848413,5019,1004,0
Debt_to_Equity,20231031,13.391586075635944,13.091203946631222,-0.3003821290047224,0.4243918366348124,5032,1007,0
Debt_to_Equity,20231130,13.436365042773792,13.153830911226251,-0.2825341315475409,0.42485091646419526,5049,1010,0
Debt_to_Equity,20231229,13.425961604712603,13.150043346291184,-0.27591825842141837,0.4235094774641075,5066,1013,0
