run_id,fold_id,status,decision_signal_date,train_start,train_end,validation_start,validation_end,embargo_signal_date,oos_start,oos_end,oos_completed_periods,train_signal_dates,validation_signal_dates,oos_signal_dates
wf_70bd8295acfc,F001,complete,20250228,20220128,20231229,20240131,20241231,20250127,20250228,20250731,6,20220128|20220228|20220331|20220429|20220531|20220630|20220729|20220831|20220930|20221031|20221130|20221230|20230131|20230228|20230331|20230428|20230531|20230630|20230731|20230831|20230928|20231031|20231130|20231229,20240131|20240229|20240329|20240430|20240531|20240628|20240731|20240830|20240930|20241031|20241129|20241231,20250228|20250331|20250430|20250530|20250630|20250731
wf_70bd8295acfc,F002,complete,20250829,20220729,20240628,20240731,20250630,20250731,20250829,20260130,6,20220729|20220831|20220930|20221031|20221130|20221230|20230131|20230228|20230331|20230428|20230531|20230630|20230731|20230831|20230928|20231031|20231130|20231229|20240131|20240229|20240329|20240430|20240531|20240628,20240731|20240830|20240930|20241031|20241129|20241231|20250127|20250228|20250331|20250430|20250530|20250630,20250829|20250930|20251031|20251128|20251231|20260130
wf_70bd8295acfc,F003,incomplete,20260227,20230131,20241231,20250127,20251231,20260130,20260227,20260529,4,20230131|20230228|20230331|20230428|20230531|20230630|20230731|20230831|20230928|20231031|20231130|20231229|20240131|20240229|20240329|20240430|20240531|20240628|20240731|20240830|20240930|20241031|20241129|20241231,20250127|20250228|20250331|20250430|20250530|20250630|20250731|20250829|20250930|20251031|20251128|20251231,20260227|20260331|20260430|20260529
