factor,trade_date,ic,rank_ic,sample_count
Debt_to_Equity,20220128,-0.014873397672608363,-0.03982622279009575,4401
Debt_to_Equity,20220228,-0.15555987774959443,-0.12053344937305775,4423
Debt_to_Equity,20220331,-0.04333680454812417,-0.10018163897693597,4459
Debt_to_Equity,20220429,0.08696391947262691,0.030250215356450474,4469
Debt_to_Equity,20220531,0.055635487669707655,0.04797324113693887,4488
Debt_to_Equity,20220630,0.039208428733586875,0.0027067137578336863,4520
Debt_to_Equity,20220729,-0.08879625906718282,-0.09129621406241568,4559
Debt_to_Equity,20220831,-0.07755969792433652,-0.07595157319556795,4612
Debt_to_Equity,20220930,0.16627322629525385,0.21992287699371543,4655
Debt_to_Equity,20221031,-0.11570231935851741,-0.1623048846493475,4686
Debt_to_Equity,20221130,-0.026856443998144762,0.006727595417843975,4728
Debt_to_Equity,20221230,0.1075889273259686,0.06294711710261379,4779
Debt_to_Equity,20230131,0.05127815537401013,0.0824180064844161,4785
Debt_to_Equity,20230228,0.07342750023661954,0.09499677946808634,4813
Debt_to_Equity,20230331,-0.045032816464099984,-0.08146962936265882,4847
Debt_to_Equity,20230428,0.15094445713453905,0.19789696212389216,4859
Debt_to_Equity,20230531,-0.04690587682945346,-0.12574333691231013,4889
Debt_to_Equity,20230630,-0.2052693282932022,-0.21370391820215587,4926
Debt_to_Equity,20230731,0.05856485862323955,0.16723691223097917,4969
Debt_to_Equity,20230831,0.025759161650208952,0.01158928302335993,5002
Debt_to_Equity,20230928,0.010965925865926374,0.024574070953973206,5018
Debt_to_Equity,20231031,0.09318962179656762,0.1671665373981971,5030
Debt_to_Equity,20231130,0.025074957203903823,-0.02551368840444572,5048
Debt_to_Equity,20231229,-0.24072949829385606,-0.2824428655620234,5066
Debt_to_Equity,20240131,0.09111744102515562,0.09129324033416189,5085
Debt_to_Equity,20240229,0.04175255094922723,-0.00991771408278545,5089
Debt_to_Equity,20240329,0.04565884216974837,-0.029470373356673484,5097
Debt_to_Equity,20240430,-0.029981779809858163,-0.03449269258590985,5068
Debt_to_Equity,20240531,0.03182763853305488,0.04460270795148677,5093
Debt_to_Equity,20240628,-0.05871029212630705,-0.016585543028997615,5101
Debt_to_Equity,20240731,-0.09461659465568378,-0.06959796805244378,5103
Debt_to_Equity,20240830,0.09294999739837952,0.14835965613066962,5111
