factor,trade_date,ic,rank_ic,sample_count
Debt_to_Equity,20220128,-0.06128394742477772,-0.04293757952648919,4401
Debt_to_Equity,20220228,-0.08792719495808038,-0.03816987552100715,4423
Debt_to_Equity,20220331,0.028299715313791902,-0.013084258164499141,4459
Debt_to_Equity,20220429,0.009797216646611503,0.017469295421056196,4469
Debt_to_Equity,20220531,0.0146977831614017,-0.0540993665199201,4488
Debt_to_Equity,20220630,-0.015862975729321417,-0.02876288296399284,4520
Debt_to_Equity,20220729,-0.041554722737537894,-0.0017178625643447718,4559
Debt_to_Equity,20220831,-0.026708046326901894,-0.015486202522248214,4612
Debt_to_Equity,20220930,0.0567054067207998,0.02942824899953851,4655
Debt_to_Equity,20221031,-0.06637069719904362,-0.04760667915972486,4686
Debt_to_Equity,20221130,-0.028348516537152892,-0.014604043845896914,4728
Debt_to_Equity,20221230,0.06612770089050898,-0.0042352176315917645,4779
Debt_to_Equity,20230131,0.015330575369883394,0.016331231225475022,4785
Debt_to_Equity,20230228,0.059983731998131805,0.06444823382938396,4813
Debt_to_Equity,20230331,0.029108863941918108,0.03342159665793577,4847
Debt_to_Equity,20230428,0.0988182248987298,0.06896800624391393,4859
Debt_to_Equity,20230531,-0.06024971903628651,-0.04779871374510199,4889
Debt_to_Equity,20230630,-0.09253786697996232,-0.03983009867903081,4926
Debt_to_Equity,20230731,0.013248667292243646,0.054615224498366526,4969
Debt_to_Equity,20230831,-0.005721484247409754,-0.06763375944089438,5002
Debt_to_Equity,20230928,-0.0233447439199481,-0.016012114301202238,5018
Debt_to_Equity,20231031,0.025314253016245656,0.06916232643916288,5030
Debt_to_Equity,20231130,-0.00027563765330286267,-0.011532102272932207,5048
Debt_to_Equity,20231229,-0.016850603341768494,-0.017558937566326937,5066
Debt_to_Equity,20240131,0.030761184774347448,-0.0001275155772874788,5085
Debt_to_Equity,20240229,0.008395318157836128,-0.03352887242958247,5089
Debt_to_Equity,20240329,0.09896686333433412,0.038178097435348717,5097
Debt_to_Equity,20240430,0.03622362895664757,0.03581177733924444,5068
Debt_to_Equity,20240531,0.08771658491935568,0.07804709590270434,5093
Debt_to_Equity,20240628,-0.07480393810064791,-0.03800745668108109,5101
Debt_to_Equity,20240731,-0.10114556380275265,-0.05100582387694734,5103
Debt_to_Equity,20240830,0.0368888559139654,0.04362591569020931,5111
Debt_to_Equity,20240930,-0.10494041889998106,-0.11164053128508765,5113
Debt_to_Equity,20241031,0.03577610620512825,0.04917199807555121,5119
Debt_to_Equity,20241129,-0.024290686170031994,0.02535939954144351,5134
Debt_to_Equity,20241231,0.08348823247469703,0.044042971271320897,5143
Debt_to_Equity,20250127,-0.012906432241697127,-0.06080031239536553,5156
Debt_to_Equity,20250228,0.04015434184260044,0.038451087708653665,5158
